Filename ori_label category softmax_0 softmax_1
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n044.tif_29.jpg 0 train 0.05954677 0.94045323
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n017.tif_32.jpg 0 train 0.08999208 0.9100079
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n044.tif_1.jpg 0 train 0.089758344 0.91024166
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n041.tif_37.jpg 0 train 0.04146111 0.95853895
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n005.tif_23.jpg 0 train 0.061831534 0.93816847
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n037.tif_6.jpg 0 train 0.08528584 0.9147141
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n037.tif_38.jpg 0 train 0.13205214 0.86794794
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Benign_b094.tif_4.jpg 0 train 0.077906445 0.9220936
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n052.tif_4.jpg 0 train 0.03217224 0.96782774
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n038.tif_37.jpg 0 train 0.07828742 0.9217126
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n034.tif_31.jpg 0 train 0.09870154 0.90129846
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n077.tif_45.jpg 0 train 0.085594796 0.91440517
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Benign_b019.tif_40.jpg 0 train 0.19786608 0.8021339
/data/Naresh/BACH/ICIAR2018_BACH_Challenge/final_train_test_val/train/0/Normal_n005.tif_33.jpg 0 train 0.069263496 0.93073654
